鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
永和區,建物,新北市永和區中正路129巷1~30號,0.0,商,,,10304,土地0建物1車位0,一層,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,0900808,43.989999999999995,0,2,1,有,有,有,20000,455,,0.0,0
中和區,建物,新北市中和區中興街202巷31~60號,0.0,住,,,10304,土地0建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951110,109.28999999999999,3,2,2,有,有,無,25000,229,,0.0,0
中和區,建物,新北市中和區興南路二段1~30號,15.55,住,,,10304,土地0建物1車位0,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941227,74.18,2,2,1,有,有,有,18000,243,,0.0,0
三重區,建物,新北市三重區三和路四段301~330號,0.0,住,,,10304,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0770728,113.22,0,0,0,無,無,無,100000,883,,0.0,0
中和區,建物,新北市中和區員山路581巷2弄1~30號,0.0,工,,,10303,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0720907,61.27,3,1,1,有,無,有,16000,261,,0.0,0
汐止區,房地(土地+建物),新北市汐止區明峰街91~120號,16.33,住,,,10305,土地2建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851207,82.74,2,2,1,有,有,有,11000,133,,0.0,0
土城區,建物,新北市土城區中正路四段27巷31~60號,0.0,住,,,10304,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731231,97.84,3,2,1,有,無,無,13000,133,,0.0,0
土城區,建物,新北市土城區裕民路185巷1~30號,0.0,住,,,10304,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751208,110.21,4,2,2,有,無,無,17000,154,,0.0,0
土城區,建物,新北市土城區裕民路185巷1~30號,0.0,住,,,10304,土地0建物1車位0,一層,5,店面(店鋪),見使用執照,鋼筋混凝土造,0751208,110.21,0,1,1,有,無,無,35000,318,,0.0,0
淡水區,房地(土地+建物),新北市淡水區重建街31~60號,15.6,商,,,10305,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0881002,53.379999999999995,0,0,1,有,無,有,10000,187,,0.0,0
淡水區,建物,新北市淡水區新春街181~210號,0.0,其他,,,10304,土地0建物1車位0,十九層,31,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0880811,108.03999999999999,2,2,2,有,有,無,15000,139,,0.0,0
板橋區,房地(土地+建物),新北市板橋區館前西路241~270號,22.67,商,,,10304,土地1建物2車位0,見其他登記事項,5,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,,127.93,0,0,0,無,無,無,35000,274,,0.0,0
汐止區,房地(土地+建物),新北市汐止區大同路三段601~630號,6.7,住,,,10304,土地1建物1車位0,二十五層,32,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,73.52000000000001,2,1,1,有,有,有,10000,136,,0.0,0
汐止區,房地(土地+建物),新北市汐止區大同路三段601~630號,3.9,住,,,10304,土地1建物1車位0,十層,32,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,40.77,1,1,1,有,有,有,8000,196,,0.0,0
汐止區,房地(土地+建物),新北市汐止區大同路三段601~630號,5.54,住,,,10305,土地1建物1車位0,四層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880201,46.1,1,1,1,有,有,有,8000,174,,0.0,0
中和區,建物,新北市中和區建八路181~210號,0.0,工,,,10304,土地0建物1車位0,九層,14,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960731,58.78,1,1,1,有,有,有,12500,213,,0.0,0
中和區,建物,新北市中和區景平路91~120號,0.0,住,,,10305,土地0建物1車位0,一層,4,店面(店鋪),商業用,鋼筋混凝土造,0681221,85.66,0,0,0,無,無,無,28000,327,,0.0,0
新店區,建物,新北市新店區中興路二段211~240號,0.0,工,,,10304,土地0建物1車位0,一層,4,廠辦,工業用,鋼筋混凝土造,0700729,112.19,0,0,0,無,無,無,27000,241,,0.0,0
新店區,建物,新北市新店區中興路二段211~240號,0.0,工,,,10304,土地0建物1車位0,三層,4,廠辦,工業用,鋼筋混凝土造,0700729,102.18,0,0,0,無,無,無,13000,127,,0.0,0
汐止區,房地(土地+建物),新北市汐止區新臺五路二段181~210號,0.0,其他,,,10305,土地2建物1車位0,五層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0851230,64.8,2,2,1,有,有,無,11000,170,,0.0,0
汐止區,房地(土地+建物),新北市汐止區大同路二段184巷1~30號,0.0,住,,,10305,土地2建物1車位0,四層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870903,96.3,2,2,1,有,有,有,15000,156,,0.0,0
汐止區,房地(土地+建物),新北市汐止區龍安路202巷31~60號,0.0,住,,,10305,土地2建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730502,86.02,3,2,1,有,無,有,13000,151,,0.0,0
汐止區,房地(土地+建物),新北市汐止區大同路二段184巷1~30號,0.0,住,,,10305,土地2建物1車位0,二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870903,96.3,2,2,1,有,有,無,15500,161,,0.0,0
中和區,建物,新北市中和區泰和街1~30號,0.0,住,,,10304,土地0建物1車位0,全,4,透天厝,見其他登記事項,加強磚造,0590202,562.53,0,0,0,無,無,有,225400,401,,0.0,0
新莊區,房地(土地+建物),新北市新莊區青山路一段31~60號,10.25,住,,,10304,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940906,91.58,2,1,1,有,有,有,15000,164,,0.0,0
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段211巷61~90號,39.94,住,,,10304,土地1建物1車位3,一層,12,店面(店鋪),見其他登記事項,鋼筋混凝土造,0970819,326.83,0,2,1,有,有,無,38000,116,坡道平面,62.0,0
三重區,房地(土地+建物),新北市三重區光復路一段68巷24弄1~30號,1949.29,工,,,10305,土地1建物1車位0,一層,1,工廠,工業用,見其他登記事項,0550630,642.55,0,0,0,無,無,無,200000,,,0.0,0
鶯歌區,建物,新北市鶯歌區湖山路59巷1~30號,0.0,,山坡地保育區,交通用地,10304,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0720421,164.22,3,2,2,有,無,無,25000,152,,0.0,0
汐止區,房地(土地+建物)+車位,新北市汐止區大同路二段511~540號,655.0,住,,,10305,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000830,123.80000000000001,2,2,2,有,有,有,24500,198,坡道機械,0.0,0
中和區,建物,新北市中和區景平路331~360號,0.0,工,,,10303,土地0建物1車位0,五層,12,廠辦,商業用,鋼筋混凝土造,0881022,432.3,0,0,0,無,無,無,96500,223,,0.0,0
板橋區,房地(土地+建物),新北市板橋區國泰街61~90號,5.93,商,,,10303,土地2建物2車位0,三層,4,套房(1房1廳1衛),住家用,加強磚造,0640328,23.04,1,1,1,有,無,有,6000,260,,0.0,0
板橋區,房地(土地+建物),新北市板橋區民族路241~270號,111.0,住,,,10303,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0620815,262.89,0,0,0,無,無,無,40000,152,,0.0,0
板橋區,房地(土地+建物),新北市板橋區和平路安樂巷1弄1~30號,26.01,住,,,10302,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791110,129.01999999999998,3,2,2,有,無,有,19360,150,,0.0,0
中和區,房地(土地+建物),新北市中和區中正路691~720號,40.6,工,,,10304,土地1建物1車位0,十八層,18,廠辦,見其他登記事項,鋼筋混凝土造,0900227,410.28,0,0,0,無,有,無,100000,244,,0.0,0
中和區,房地(土地+建物),新北市中和區建八路1~30號,25.39,工,,,10305,土地1建物1車位0,八層,18,廠辦,工商用,鋼筋混凝土造,0880227,245.3,0,0,0,無,有,無,59368,242,,0.0,0
新莊區,房地(土地+建物)+車位,新北市新莊區中平路301~330號,22.23,住,,,10304,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951229,179.44,4,2,2,有,有,有,30000,167,坡道平面,23.18,0
新莊區,房地(土地+建物),新北市新莊區中港路571~600號,6.48,住,,,10304,土地1建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850809,45.370000000000005,1,0,1,有,有,有,11000,242,,0.0,0
新莊區,房地(土地+建物)+車位,新北市新莊區中原東路89巷1~30號,22.38,商,,,10304,土地1建物1車位1,十四層,17,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011227,224.08999999999997,4,2,2,有,有,無,24000,107,坡道平面,50.81,0
淡水區,房地(土地+建物),新北市淡水區水源街二段92巷1~30號,32.74,住,,,10305,土地1建物1車位0,一層,8,店面(店鋪),見其他登記事項,鋼筋混凝土造,0981125,138.54,0,0,0,無,有,無,19000,137,,0.0,0
淡水區,房地(土地+建物),新北市淡水區中正東路一段61~90號,12.67,住,,,10305,土地1建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011121,69.59,2,1,1,有,有,有,18000,259,,0.0,0
淡水區,房地(土地+建物),新北市淡水區民權路1~30號,10.67,工,,,10304,土地1建物1車位0,二十三層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971223,96.52,1,1,2,有,有,有,19000,197,,0.0,0
淡水區,房地(土地+建物),新北市淡水區八勢一街42巷1~30號,15.31,其他,,,10304,土地1建物1車位0,一層,11,其他,見其他登記事項,鋼筋混凝土造,0960117,92.1,2,1,1,有,有,有,16000,174,,0.0,0
汐止區,房地(土地+建物)+車位,新北市汐止區中興路91~120號,25.93,住,,,10305,土地1建物1車位1,四層,7,辦公商業大樓,商業用,鋼筋混凝土造,0801004,131.85,0,0,0,無,有,無,23000,174,坡道機械,0.0,0
汐止區,房地(土地+建物)+車位,新北市汐止區中興路91~120號,27.03,住,,,10305,土地1建物1車位1,四層,7,辦公商業大樓,商業用,鋼筋混凝土造,0801004,148.6,0,0,0,無,有,無,27000,182,坡道機械,0.0,0
新店區,房地(土地+建物)+車位,新北市新店區中正路四維巷8弄1~30號,0.0,工,,,10304,土地0建物1車位1,一層,5,廠辦,工業用,鋼筋混凝土造,0750319,249.7,0,0,0,無,有,無,68000,272,坡道平面,48.13,0
新店區,建物,新北市新店區北新路一段151~180號,0.0,住,,,10205,土地0建物0車位0,四層,5,其他,住家用,鋼筋混凝土造,0691013,8.66,1,1,2,有,無,有,6500,751,,0.0,0
新店區,建物,新北市新店區北新路一段151~180號,0.0,住,,,10110,土地0建物0車位0,四層,5,其他,住家用,鋼筋混凝土造,0691013,8.66,1,1,2,有,無,有,6000,693,,0.0,0
新店區,建物,新北市新店區北新路一段151~180號,0.0,住,,,10110,土地0建物0車位0,四層,5,其他,住家用,鋼筋混凝土造,0691013,11.57,1,1,2,有,無,有,6500,562,,0.0,0
汐止區,房地(土地+建物)+車位,新北市汐止區南陽街180巷1~30號,962.28,工,,,10304,土地1建物1車位2,二層,3,廠辦,住工用,鋼筋混凝土造,0780726,746.37,0,0,0,有,無,無,105000,141,坡道平面,0.0,0
永和區,建物,新北市永和區成功路二段151~180號,0.0,住,,,10304,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0790109,63.96,1,1,1,有,有,無,17000,266,,0.0,0
永和區,建物,新北市永和區成功路二段151~180號,0.0,住,,,10304,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0790109,97.34,2,1,1,有,有,無,15000,154,,0.0,0
中和區,房地(土地+建物)+車位,新北市中和區中正路901~930號,1049.1,工,,,10304,土地1建物2車位3,一層,18,廠辦,見其他登記事項,見其他登記事項,0981015,801.97,0,0,0,有,有,無,306818,383,坡道平面,0.0,0
新莊區,房地(土地+建物),新北市新莊區化成路331~360號,157.58,工,,,10304,土地1建物1車位0,二層,3,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0670119,131.62,4,2,2,有,無,無,16000,122,,0.0,0
新莊區,房地(土地+建物),新北市新莊區中港路620巷1~30號,21.23,住,,,10304,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0710929,66.86,0,0,0,無,無,無,25000,374,,0.0,0
新莊區,土地,民安段391~420地號,230.66,商,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,65000,282,,0.0,0
新莊區,房地(土地+建物)+車位,新北市新莊區中正路91~120號,18.07,住,,,10304,土地1建物1車位1,十四層,18,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021115,176.76999999999998,3,2,2,有,無,無,32000,181,坡道平面,36.9,0
新莊區,房地(土地+建物),新北市新莊區建國一路61~90號,77.09,工,,,10304,土地1建物1車位0,一層,10,店面(店鋪),商業用,鋼筋混凝土造,0830204,321.71999999999997,0,1,1,有,無,無,70000,218,,0.0,0
泰山區,房地(土地+建物),新北市泰山區仁愛路100巷1~30號,7.91,住,,,10304,土地1建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930601,79.84,2,2,1,有,有,有,17000,213,,0.0,0
新莊區,房地(土地+建物)+車位,新北市新莊區立信一街61~90號,10.97,住,,,10304,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990104,106.35,2,2,1,有,有,有,20000,188,坡道平面,15.85,0
新莊區,房地(土地+建物),新北市新莊區昌盛街31~60號,11.39,住,,,10304,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680908,96.58,3,1,1,有,無,無,10000,104,,0.0,0
新莊區,房地(土地+建物),新北市新莊區萬安街157巷1~30號,15.45,住,,,10304,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700917,61.14,2,1,1,有,無,有,6500,106,,0.0,0
新莊區,房地(土地+建物),新北市新莊區中泰街104巷5弄1~30號,18.96,住,,,10304,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711117,85.55,3,2,1,有,無,有,13000,152,,0.0,0
